static_mean,static_std,dynamic_mean,dynamic_std,duration_mean,duration_std,type_comms,nb_deps_seq,chains_length,is_pipeline,nb_chains,topology,nb_occs
321.36,0.0,161.83,0.0,6372.85,0.0,push,3,1,False,3,clique,1
40635.97,17814.25,209.5,3.52,398697.11,172726.68,push,3,5,True,1,star,10
57941.21,15729.73,478.72,1.58,406522.67,109201.75,pull_anticipation,5,3,True,3,star,10
13111.49,3119.59,506.3,21.68,95605.48,21446.26,push,5,3,False,3,clique,10
48894.92,8890.72,933.08,4.15,187989.59,33622.5,pull_anticipation,5,5,True,3,clique,10
23234.33,9667.6,203.98,0.3,379298.12,156252.83,pull_anticipation,5,3,False,1,star,10
60210.37,14947.42,304.68,7.65,422243.59,103819.8,push,3,3,False,3,star,9
140782.46,11642.62,945.91,4.86,530919.81,43177.53,pull,5,5,True,3,clique,9
19683.3,6289.14,522.66,15.81,141301.71,43537.97,push,5,3,True,3,clique,10
15754.67,9699.9,205.01,1.83,258309.36,156972.12,push,5,3,True,1,star,10
9584.56,4221.34,123.25,0.98,158246.4,68443.89,push,3,3,False,1,clique,10
9584.56,4221.34,205.18,1.56,158246.4,68443.89,push,5,3,False,1,clique,10
15754.67,9699.9,203.79,0.55,258309.36,156972.12,pull_anticipation,5,3,True,1,star,10
15160.16,8732.85,203.84,0.56,248683.18,141358.13,pull_anticipation,5,3,True,1,clique,10
15754.67,9699.9,123.23,1.18,258309.36,156972.12,push,3,3,True,1,star,10
13800.63,7105.72,123.57,1.27,226458.01,114954.44,push,3,3,True,1,clique,9
91462.63,14048.82,488.82,1.34,639307.9,97754.46,pull,5,3,True,3,clique,9
400976.94,81004.99,356.28,2.88,3901994.28,787846.83,pull,5,5,False,1,star,11
40635.97,17814.25,347.99,5.14,398697.11,172726.68,push,5,5,True,1,star,10
73957.43,6105.85,480.35,0.63,517308.42,42366.03,pull_anticipation,5,3,False,3,star,9
8853.47,1252.27,208.03,2.19,90333.11,12426.61,push,3,5,False,1,clique,10
15754.67,9699.9,123.75,1.35,258309.36,156972.12,push,3,3,False,1,star,10
12878.5,7286.63,205.44,1.95,211514.68,117910.13,push,5,3,True,1,clique,10
15754.67,9699.9,122.49,0.45,258309.36,156972.12,pull_anticipation,3,3,True,1,star,10
9190.9,1720.93,346.73,3.91,93450.31,16808.68,push,5,5,False,1,clique,10
22904.2,7374.47,359.42,10.4,226530.23,71079.96,push,5,5,True,1,clique,11
13111.49,3119.59,304.36,13.37,95605.48,21446.26,push,3,3,False,3,clique,10
34285.1,9507.63,123.11,0.35,558335.4,154068.64,pull,3,3,True,1,star,8
23378.94,6544.43,342.58,1.39,231287.58,63152.26,pull_anticipation,5,5,True,1,clique,10
24945.57,8229.36,290.31,0.89,177251.9,57075.3,pull_anticipation,3,3,True,3,clique,10
15160.16,8732.85,122.55,0.46,248683.18,141358.13,pull_anticipation,3,3,True,1,clique,10
53361.83,12410.32,205.05,0.36,868263.93,200919.33,pull,5,3,True,1,star,10
24945.57,8229.36,483.23,2.14,177251.9,57075.3,pull_anticipation,5,3,True,3,clique,10
40635.97,17814.25,341.62,1.48,398697.11,172726.68,pull_anticipation,5,5,True,1,star,10
19683.3,6289.14,314.35,9.66,141301.71,43537.97,push,3,3,True,3,clique,10
57941.21,15729.73,497.33,9.41,406522.67,109201.75,push,5,3,True,3,star,10
114106.9,30365.82,290.68,1.22,796854.69,210699.52,pull,3,3,True,3,star,10
17787.28,4812.92,480.47,1.5,128363.43,33225.81,pull_anticipation,5,3,False,3,clique,10
43568.38,10664.85,205.03,0.41,708892.14,172714.44,pull,5,3,True,1,clique,10
30163.21,8662.34,123.13,0.31,491659.75,140332.21,pull,3,3,False,1,clique,9
73728.02,11969.75,344.83,0.74,720685.13,115743.91,pull,5,5,False,1,clique,10
187794.75,70440.96,660.43,72.12,706665.82,263671.2,push,3,5,False,3,star,10
14043.43,4196.76,204.85,0.3,140663.69,40892.2,pull_anticipation,3,5,False,1,clique,10
57941.21,15729.73,505.32,12.07,406522.67,109201.75,push,5,3,False,3,star,10
24367.12,3463.59,917.87,7.4,95795.52,12952.57,pull_anticipation,5,5,False,3,clique,10
57933.17,15740.18,288.12,1.17,406522.67,109201.75,pull_anticipation,3,3,True,3,star,10
227710.34,33529.95,213.26,1.32,2217729.11,326325.12,pull,3,5,False,1,star,9
217093.29,33875.7,296.24,1.23,1511281.94,235596.66,pull,3,3,False,3,star,11
57933.17,15740.18,299.08,6.0,406522.67,109201.75,push,3,3,True,3,star,10
14043.43,4196.76,340.82,0.4,140663.69,40892.2,pull_anticipation,5,5,False,1,clique,10
12324.16,7187.64,122.31,0.24,202668.83,116569.12,pull_anticipation,3,3,False,1,clique,10
40242.31,18095.82,205.54,1.15,394937.67,175440.25,pull_anticipation,3,5,True,1,star,10
23234.33,9667.6,122.74,0.3,379298.12,156252.83,pull_anticipation,3,3,False,1,star,10
278988.68,70661.52,914.36,3.97,1047929.15,263834.67,pull_anticipation,5,5,False,3,star,10
86903.78,13229.54,488.13,1.74,607815.47,92156.33,pull,5,3,False,3,clique,10
15754.67,9699.9,205.89,2.11,258309.36,156972.12,push,5,3,False,1,star,10
386984.39,73606.38,552.66,4.25,1451613.35,275069.48,pull,3,5,True,3,star,12
24367.12,3463.59,552.4,4.61,95795.52,12952.57,pull_anticipation,3,5,False,3,clique,10
98038.9,8946.5,569.54,2.84,370881.1,33297.93,pull,3,5,True,3,clique,10
67622.18,17260.06,124.44,0.53,1098746.06,279441.44,pull,3,3,False,1,star,10
186038.23,59750.5,900.41,6.89,699937.8,223533.43,pull_anticipation,5,5,True,3,star,11
14332.66,4491.31,612.58,31.29,58057.6,16398.38,push,3,5,False,3,clique,10
189297.11,69756.78,1013.75,87.14,712506.39,261032.58,push,5,5,True,3,star,10
30673.81,11746.46,123.15,0.5,500278.48,190215.28,pull,3,3,True,1,clique,10
37910.44,19588.94,354.13,9.84,372350.94,190109.6,push,5,5,False,1,star,8
20446.53,6705.21,214.61,6.26,202632.8,64637.9,push,3,5,True,1,clique,10
47826.4,10667.69,205.19,0.39,778001.89,172397.08,pull,5,3,False,1,clique,10
127796.84,19909.28,344.55,0.93,1246218.99,193571.58,pull,5,5,True,1,star,10
47275.63,10116.33,207.17,0.53,463225.12,98188.83,pull,3,5,False,1,clique,9
470749.14,58083.97,912.86,4.16,1765275.37,216903.55,pull,5,5,True,3,star,13
67828.87,14125.15,289.11,0.81,474998.03,97592.53,pull_anticipation,3,3,False,3,star,11
40635.97,17814.25,214.53,6.11,398697.11,172726.68,push,3,5,False,1,star,10
69919.9,10019.53,560.86,3.88,266240.08,37550.8,pull,3,5,False,3,clique,10
17787.28,4812.92,288.93,1.06,128363.43,33225.81,pull_anticipation,3,3,False,3,clique,10
61165.52,11347.83,293.43,1.41,429029.05,78701.54,pull,3,3,True,3,clique,9
75117.9,33478.41,207.02,1.27,734307.47,325482.22,pull_anticipation,3,5,False,1,star,9
180837.31,60246.07,542.54,4.82,680540.44,225444.18,pull_anticipation,3,5,True,3,star,10
12324.16,7187.64,203.51,0.23,202668.83,116569.12,pull_anticipation,5,3,False,1,clique,10
23378.94,6544.43,206.11,1.03,231287.58,63152.26,pull_anticipation,3,5,True,1,clique,10
39471.04,9913.39,1265.53,138.42,152678.87,37403.46,push,5,5,True,3,clique,10
78178.85,14580.52,345.87,0.75,763975.66,141270.29,pull,5,5,True,1,clique,10
16184.05,4345.48,1065.42,99.42,64825.69,15711.25,push,5,5,False,3,clique,9
48782.45,9048.78,562.93,2.96,187789.14,33900.36,pull_anticipation,3,5,True,3,clique,10
39559.42,9869.35,769.68,86.0,152840.03,37319.33,push,3,5,True,3,clique,10
91258.21,17202.57,207.49,0.68,891146.36,167631.88,pull,3,5,True,1,star,10
47169.62,12688.28,207.5,0.62,461737.34,123263.11,pull,3,5,True,1,clique,8
116069.39,15929.04,936.84,4.64,438953.24,60301.73,pull,5,5,False,3,clique,11
96318.73,14795.04,206.8,0.46,1563299.92,239383.06,pull,5,3,False,1,star,9
79552.67,33390.81,343.22,1.19,777336.08,324702.46,pull_anticipation,5,5,False,1,star,10
193517.15,75543.47,1095.75,116.26,728385.47,282693.0,push,5,5,False,3,star,11
186155.81,41423.11,484.59,2.25,1296799.46,287612.35,pull,5,3,True,3,star,10
189208.0,67311.34,610.76,53.52,711920.83,251949.26,push,3,5,True,3,star,11
55782.74,12093.36,292.9,1.8,391131.58,84293.21,pull,3,3,False,3,clique,9
831460.57,124687.15,578.62,4.94,3113208.44,466609.27,pull,3,5,False,3,star,11
368978.67,59338.59,494.1,2.13,2565664.11,412011.47,pull,5,3,False,3,star,14
274414.66,73065.84,552.99,3.72,1030779.41,272767.12,pull_anticipation,3,5,False,3,star,9
1434205.58,209781.02,967.93,8.39,5366923.98,783986.41,pull,5,5,False,3,star,10
